recordid,datavalue,datasheetid,indicatorid,indicator,datacategory,unitid,unit,subgroupid,subgroup,timeperiodid,timeperiod,sourceid,source,source_catid,area_table_id,area_id,area_parent_id,area_lft,area_rgt,area_name,area_level,datasheet
94769,10,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1003,"Outside major urban area",50,2000,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94770,1.4,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1289,SANKIR,50,2000,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94771,5,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1,Total,50,2000,752,"UNAIDS_Report on the Global AIDS Epidemic, 2006",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
119079,16,7,1775,"Estimated incidence of TB among people living with HIV","HIV Prevalence and Epidemiology",37,"Per 100,000 population (Estimate)",1,Total,50,2000,854,"WHO_WHO (2013). Global tuberculosis report 2013.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
119397,14,7,1775,"Estimated incidence of TB among people living with HIV","HIV Prevalence and Epidemiology",39,"Per 100,000 population (Low estimate)",1,Total,50,2000,854,"WHO_WHO (2013). Global tuberculosis report 2013.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
119455,18,7,1775,"Estimated incidence of TB among people living with HIV","HIV Prevalence and Epidemiology",38,"Per 100,000 population (High estimate)",1,Total,50,2000,854,"WHO_WHO (2013). Global tuberculosis report 2013.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
119643,170,7,1775,"Estimated incidence of TB among people living with HIV","HIV Prevalence and Epidemiology",34,"Thousands (Estimate)",1,Total,50,2000,854,"WHO_WHO (2013). Global tuberculosis report 2013.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
119831,150,7,1775,"Estimated incidence of TB among people living with HIV","HIV Prevalence and Epidemiology",36,"Thousands (Low estimate)",1,Total,50,2000,854,"WHO_WHO (2013). Global tuberculosis report 2013.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
120019,190,7,1775,"Estimated incidence of TB among people living with HIV","HIV Prevalence and Epidemiology",35,"Thousands (High estimate)",1,Total,50,2000,854,"WHO_WHO (2013). Global tuberculosis report 2013.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
199308,83000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
199556,24000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
199757,230000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
200137,250000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
200394,30000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
200499,96000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",9,"Number (High estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
200771,260000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
201043,290000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
201299,20000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
201571,71000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
201843,190000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
202115,220000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
205363,82000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
205619,9600,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
205891,22000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",32,"Number (Estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
206213,72000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
206435,140000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
206691,13000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
206963,77000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",9,"Number (High estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
207175,260000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
207507,59000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
207763,7600,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
208035,8300,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
208247,27000,7,94,"Estimated AIDS-related deaths","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
208563,70000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
208835,670000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",32,"Number (Estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
209107,1900000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
209379,2000000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
209635,97000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
209907,850000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",9,"Number (High estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
210179,2500000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
210451,2600000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",9,"Number (High estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
210707,53000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1376,"Total 0-14 yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
210979,540000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",201,"Female 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
211413,1600000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1,Total,50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
211706,1500000,7,96,"Estimated number of people living with HIV","HIV Prevalence and Epidemiology",10,"Number (Low estimate)",1405,"Total 15+ yr",50,2000,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
40162,23.6,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,503,Hamsafar,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40163,3.6,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,526,ICWO,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40164,20,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,583,"Major urban area",53,2001,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40165,2,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,1003,"Outside major urban area",53,2001,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40166,2.4,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,1328,"Stanley Medical College",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"Men who have Sex with Men (MSM)"
40229,17.2,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,1,Total,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"Men who have Sex with Men (MSM)"
40246,1.2,3,33,"HIV prevalence among men who have sex with men","HIV Prevalence and Epidemiology",1,Percent,1,Total,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,2019,ASIIND023001,2018,9972,9973,Chennai,4,"Men who have Sex with Men (MSM)"
88491,30,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,1003,"Outside major urban area",53,2001,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"Sex Workers (SW)"
88498,8.8,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,421,FSWs,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1584,ASIIND002003,1581,10842,10843,Visakhapatnam,4,"Sex Workers (SW)"
88507,50.8,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,1567,"Vasco de Gama FSWs",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1683,ASIIND006,1580,10639,10644,Goa,3,"Sex Workers (SW)"
88511,2.6,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,421,FSWs,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1804,ASIIND012014,1790,10402,10403,Thiruvananthapuram,4,"Sex Workers (SW)"
88520,52.3,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,482,"Gaurabai STD clinic FSWs",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"Sex Workers (SW)"
88521,52,0,37,"HIV prevalence among sex workers","HIV Prevalence and Epidemiology",1,Percent,583,"Major urban area",53,2001,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1855,ASIIND014001,1854,10300,10301,"Mumbai City",4,"Sex Workers (SW)"
94633,24.6,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,581,"Madras Drug Addiction Center",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,2019,ASIIND023001,2018,9972,9973,Chennai,4,"People Who Inject Drugs (PWID)"
94719,2,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1,Total,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1762,ASIIND011001,1761,10486,10487,Bangalore,4,"People Who Inject Drugs (PWID)"
94772,2,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,95,"Civil Hospital",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94773,2.4,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,111,"DDU Hospital",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94774,57.2,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,115,"District Hospital",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94775,52,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,544,"J. N. Hospital",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94776,25,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,583,"Major urban area",53,2001,742,"UNAIDS_Epidemiological fact sheets update, 2006",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94777,59.5,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,909,"NGO center",53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94778,41.4,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1288,SANKALP,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
94779,1.4,4,31,"HIV prevalence among people who inject drugs","HIV Prevalence and Epidemiology",1,Percent,1289,SANKIR,53,2001,743,"UNAIDS_Epidemiological fact sheets update, 2008",3,1580,ASIIND,12,9550,10849,India,2,"People Who Inject Drugs (PWID)"
199309,74000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",201,"Female 15+ yr",53,2001,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
199557,26000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1376,"Total 0-14 yr",53,2001,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
199758,200000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1405,"Total 15+ yr",53,2001,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
200138,230000,7,98,"Estimated number of new HIV infections","HIV Prevalence and Epidemiology",32,"Number (Estimate)",1,Total,53,2001,938,"UNAIDS_UNAIDS. (2016). HIV Estimates 2000-2015.",3,1580,ASIIND,12,9550,10849,India,2,"People Living with HIV (PLHIV)"
